Data,MAV_A5,Avg.Power_A5,SD_A5,MAV_Ratio_A5,MAV_D3,Avg.Power_D3,SD_D3,MAV_Ratio_D3,MAV_D4,Avg.Power_D4,SD_D4,MAV_Ratio_D4,MAV_D5,Avg.Power_D5,SD_D5,MAV_Ratio_D5,label
S0010,151.4367194870729,37369.12035060874,187.44654689944755,0.7794125869226386,186.73926714461624,74066.53622909288,272.151667948834,2.8362787994590524,161.17904039864166,45633.08635410105,213.61901922017148,0.8631234494125973,194.29596343188632,61695.13142290563,248.38504579253757,1.2054666844481583,0
S0011,144.74443301315677,35113.924551734024,180.9496403100674,1.044970695095563,179.39608547961663,67871.22990148558,260.5208171558939,2.5399253133485367,157.10949324240596,42765.82243579881,206.79899035553822,0.875768792960965,138.515303531952,36097.406161834566,189.98875914436155,0.8816482102595494,0
S0012,156.93829751059687,40952.88446604531,198.48203985430652,0.8737090759615186,203.52162229459134,83269.95063295872,288.56533151610427,2.9096022261770407,166.82018279417773,48052.083804724956,219.2077128433626,0.819668106579411,179.6230596985455,51387.18333644947,226.68738259038747,1.0767465704084733,0
S0013,184.80587879389407,50715.97322116534,218.81556858587743,1.0225949414188125,160.49614894088108,64892.709992491145,254.74026573687354,2.447485194971684,144.83486149147967,37379.41014256906,193.3374283450915,0.902419543691542,180.72246527787706,52113.02990911604,228.28238641235384,1.2477829123239683,0
S0014,126.05244360826967,26097.90966691896,154.51434229040586,0.4676475094282921,195.0715657908503,74329.25402244425,272.6338704224788,3.308986095656115,175.28440322105752,54417.522148403594,233.27531080440025,0.8985645986406448,269.54584610612204,103874.60706948682,322.29583641214685,1.5377628651089281,0
S0015,151.61375833013466,38560.144989288485,191.1898103251313,0.9582245197973158,192.51167516588782,75903.01867388333,275.50501704515887,2.7512155429603613,162.18780925639365,45576.67632784016,213.48692319259726,0.8424829772876683,158.22362629814992,43389.59814170937,208.3015949195546,0.9755580707550161,0
S0016,151.6619429105074,36512.807552330836,184.58922732122974,0.6612822003447089,180.70255129405638,72133.86245144409,268.5774494250187,2.9284159972846844,159.56283217882032,45586.16898357864,213.50917291346502,0.8830137208144034,229.34526716649876,79896.51053970074,282.6595982778196,1.4373351490118578,0
S0017,162.22165228312653,42374.24311644762,200.27998571785236,0.9736499061085416,181.9788499094913,72261.17312879658,268.8143547952417,2.6576643479711906,156.96584656694193,42970.63554622252,207.2935940750158,0.862549942726917,166.6118912612951,46418.99258793939,215.4505115069491,1.0614531435043062,0
S0020,151.08263891231783,44312.50180961699,207.17307803122654,0.7741076322738124,219.05714339731765,87802.50815668219,296.3148795934648,2.41712559470282,153.4551016041393,44193.58071211528,210.22261532695342,0.7005254392722915,195.17006758935798,62914.490225423746,250.82758820730692,1.2718382481204749,0
S0021,123.40546443104941,26524.60410552097,159.9030199607784,0.5526809033196103,220.34763946282618,87259.56936608817,295.3971347448088,2.335282189996667,212.5086693032054,78763.97568651804,280.6481176944306,0.9644245330754122,223.2851970998628,77893.069997632,279.0928936599187,1.0507110031416251,0
